frame_id,timestamp,state_id,state,predicted_driver_state,confidence,p_alert,p_drowsy,p_microsleep,p_yawning,p_distraction,closed_probability,ocular_reliability,closure_duration_seconds,perclos_10s,perclos_30s,perclos_60s,slow_perclos_10s,slow_perclos_30s,slow_perclos_60s,perclos_10s_reliable,perclos_30s_reliable,perclos_60s_reliable,nod_probability,microsleep_active,drowsy_episode_active,latency_ms
0,0.0,4,distraction,distracted,0.392973,0.257358,0.144084,0.0,0.205586,0.392973,0.284504,0.726392,0.0,0.284504,0.284504,0.284504,0.0,0.0,0.0,False,False,False,0.0,False,False,47.437
1,0.05,4,distraction,distracted,0.639233,0.210675,0.046341,0.0,0.103751,0.639233,0.142812,0.859718,0.0,0.207703,0.207703,0.207703,0.0,0.0,0.0,False,False,False,0.0,False,False,37.394
2,0.1,4,distraction,distracted,0.793354,0.170719,0.010016,0.0,0.025911,0.793354,0.210889,0.894051,0.0,0.208851,0.208851,0.208851,0.0,0.0,0.0,False,False,False,0.0,False,False,36.816
3,0.15,4,distraction,distracted,0.734909,0.253658,0.002759,0.0,0.008673,0.734909,0.25092,0.912934,0.0,0.22017,0.22017,0.22017,0.0,0.0,0.0,False,False,False,0.0,False,False,36.743
4,0.2,4,distraction,distracted,0.876237,0.121071,0.000804,0.0,0.001888,0.876237,0.108601,0.940776,0.0,0.195951,0.195951,0.195951,0.0,0.0,0.0,False,False,False,0.0,False,False,37.27
5,0.25,4,distraction,distracted,0.921687,0.077218,0.000407,0.0,0.000688,0.921687,0.064028,0.949038,0.0,0.172252,0.172252,0.172252,0.0,0.0,0.0,False,False,False,0.0,False,False,45.678
6,0.3,4,distraction,distracted,0.905038,0.094133,0.000341,0.0,0.000489,0.905038,0.084733,0.942464,0.0,0.159003,0.159003,0.159003,0.0,0.0,0.0,False,False,False,0.0,False,False,36.87
7,0.35,4,distraction,distracted,0.828873,0.17026,0.000375,0.0,0.000493,0.828873,0.100249,0.939002,0.0,0.151302,0.151302,0.151302,0.0,0.0,0.0,False,False,False,0.0,False,False,37.236
8,0.4,4,distraction,distracted,0.73754,0.261559,0.000406,0.0,0.000495,0.73754,0.081785,0.941359,0.0,0.143229,0.143229,0.143229,0.0,0.0,0.0,False,False,False,0.0,False,False,37.347
9,0.45,4,distraction,distracted,0.618645,0.38037,0.000446,0.0,0.000539,0.618645,0.062558,0.946352,0.0,0.134795,0.134795,0.134795,0.0,0.0,0.0,False,False,False,0.0,False,False,37.244
10,0.5,0,alert,alert,0.515861,0.515861,0.00045,0.0,0.000596,0.483093,0.058282,0.946915,0.0,0.127549,0.127549,0.127549,0.0,0.0,0.0,False,False,False,0.0,False,False,45.63
11,0.55,0,alert,alert,0.594683,0.594683,0.000443,0.0,0.000627,0.404247,0.057982,0.946018,0.0,0.121536,0.121536,0.121536,0.0,0.0,0.0,False,False,False,0.0,False,False,36.907
12,0.6,4,distraction,distracted,0.572222,0.426687,0.000499,0.0,0.000592,0.572222,0.435287,0.866314,0.0,0.144549,0.144549,0.144549,0.0,0.0,0.0,False,False,False,0.0,False,False,36.989
13,0.65,4,distraction,distracted,0.658969,0.339918,0.000558,0.0,0.000554,0.658969,0.465445,0.864742,0.0,0.16644,0.16644,0.16644,0.0,0.0,0.0,False,False,False,0.0,False,False,36.951
14,0.7,4,distraction,distracted,0.53939,0.459354,0.000631,0.0,0.000625,0.53939,0.387663,0.89478,0.0,0.181026,0.181026,0.181026,0.0,0.0,0.0,False,False,False,0.0,False,False,36.795
15,0.75,0,alert,alert,0.681692,0.681692,0.00057,0.0,0.000707,0.31703,0.248179,0.916244,0.0,0.185273,0.185273,0.185273,0.0,0.0,0.0,False,False,False,1.0,False,False,45.504
16,0.8,0,alert,alert,0.774197,0.774197,0.00048,0.0,0.000689,0.224634,0.109953,0.936661,0.0,0.180699,0.180699,0.180699,0.0,0.0,0.0,False,False,False,1.0,False,False,37.408
17,0.85,0,alert,alert,0.899026,0.899026,0.000347,0.0,0.000664,0.099963,0.051619,0.946326,0.0,0.173237,0.173237,0.173237,0.0,0.0,0.0,False,False,False,0.0,False,False,37.458
18,0.9,0,alert,alert,0.915492,0.915492,0.000322,0.0,0.000682,0.083505,0.041291,0.950311,0.0,0.165997,0.165997,0.165997,0.0,0.0,0.0,False,False,False,1.0,False,False,37.547
19,0.95,0,alert,alert,0.927081,0.927081,0.000298,0.0,0.000672,0.071948,0.038591,0.951017,0.0,0.159366,0.159366,0.159366,0.0,0.0,0.0,False,False,False,0.0,False,False,38.17
20,1.0,0,alert,alert,0.950093,0.950093,0.000255,0.0,0.000701,0.048951,0.043394,0.948026,0.0,0.153646,0.153646,0.153646,0.0,0.0,0.0,False,False,False,0.0,False,False,46.238
21,1.05,0,alert,alert,0.950178,0.950178,0.00026,0.0,0.000711,0.04885,0.041898,0.949383,0.0,0.148385,0.148385,0.148385,0.0,0.0,0.0,False,False,False,0.0,False,False,37.825
