trip_id,n_frames,speed_limit_kmh,harsh_brake,harsh_accel,harsh_corner,speeding_pct_time,pen_harsh_brake,pen_harsh_accel,pen_harsh_corner,pen_speeding,deterministic_floor,safe_upper_bound,ket_luan,khoang_cach_toi_bien_100,near_miss_can_de_ve_0
T01d,1800,80,106,234,113,2.5,318.0,468.0,226.0,0.375,1012.375,0.0,MIỄN PHÍ (sàn ≥100 → safe chắc chắn = 0),-912.375,0
T02d,1800,50,118,242,105,11.0,354.0,484.0,210.0,1.65,1049.65,0.0,MIỄN PHÍ (sàn ≥100 → safe chắc chắn = 0),-949.65,0
T03d,1800,40,43,109,47,0.0,129.0,218.0,94.0,0.0,441.0,0.0,MIỄN PHÍ (sàn ≥100 → safe chắc chắn = 0),-341.0,0
T04d,1800,70,106,224,22,4.06,318.0,448.0,44.0,0.608,810.608,0.0,MIỄN PHÍ (sàn ≥100 → safe chắc chắn = 0),-710.608,0
T05d,1800,60,121,228,0,1.72,363.0,456.0,0.0,0.258,819.258,0.0,MIỄN PHÍ (sàn ≥100 → safe chắc chắn = 0),-719.258,0
T06d,1800,45,54,126,92,0.0,162.0,252.0,184.0,0.0,598.0,0.0,MIỄN PHÍ (sàn ≥100 → safe chắc chắn = 0),-498.0,0
T07d,1800,90,55,129,213,0.0,165.0,258.0,426.0,0.0,849.0,0.0,MIỄN PHÍ (sàn ≥100 → safe chắc chắn = 0),-749.0,0
T08d,1800,40,51,145,42,0.0,153.0,290.0,84.0,0.0,527.0,0.0,MIỄN PHÍ (sàn ≥100 → safe chắc chắn = 0),-427.0,0
T09d,1800,50,55,153,68,0.0,165.0,306.0,136.0,0.0,607.0,0.0,MIỄN PHÍ (sàn ≥100 → safe chắc chắn = 0),-507.0,0
T10d,1800,70,139,255,18,1.28,417.0,510.0,36.0,0.192,963.192,0.0,MIỄN PHÍ (sàn ≥100 → safe chắc chắn = 0),-863.192,0
