trip_id,has_gt,event_id,event_type,frame_start,frame_end,t_start_sec,n_frames_active,lifetime_sec_age_max,lifetime_sec_by_frames,actor_ids,actor_class,reaches_last_frame
T01-Sample,True,0,pedestrian_jaywalk,300,599,15.0,300,14.95,15.0,383,walker,True
T02-Sample,True,0,motorcycle_cut_in,300,599,15.0,300,14.95,15.0,265,bike,True
T03-Sample,True,0,lead_brake,300,349,15.0,50,2.45,2.5,496,vehicle,False
T04-Sample,True,0,stopped_vehicle_ahead,200,599,10.0,400,19.95,20.0,678,vehicle,True
T05-Sample,True,0,pedestrian_jaywalk,200,599,10.0,400,19.95,20.0,826,walker,True
T05-Sample,True,1,lead_brake,440,489,22.0,50,2.45,2.5,827,vehicle,False
T06-Sample,True,0,motorcycle_cut_in,120,419,6.0,300,14.95,15.0,1435,bike,False
T06-Sample,True,1,stopped_vehicle_ahead,380,599,19.0,220,10.95,11.0,1436,vehicle,True
T01d,False,0,motorcycle_cut_in,460,759,23.0,300,14.95,15.0,661,bike,False
T01d,False,1,lead_brake,1300,1359,65.0,60,2.95,3.0,531,vehicle,False
T02d,False,0,lead_brake,200,249,10.0,50,2.45,2.5,951,vehicle,False
T02d,False,1,pedestrian_jaywalk,900,1199,45.0,300,14.95,15.0,952,walker,False
T02d,False,2,stopped_vehicle_ahead,1040,1639,52.0,600,29.95,30.0,953,vehicle,False
T03d,False,0,motorcycle_cut_in,140,439,7.0,300,14.95,15.0,218,bike,False
T03d,False,1,pedestrian_jaywalk,660,1059,33.0,400,19.95,20.0,219,walker,False
T03d,False,2,stopped_vehicle_ahead,1400,1799,70.0,400,19.95,20.0,220,vehicle,True
T04d,False,0,motorcycle_cut_in,300,599,15.0,300,14.95,15.0,340,bike,False
T04d,False,1,pedestrian_jaywalk,800,1099,40.0,300,14.95,15.0,341,walker,False
T04d,False,2,stopped_vehicle_ahead,1200,1799,60.0,600,29.95,30.0,342,vehicle,True
T05d,False,0,motorcycle_cut_in,420,719,21.0,300,14.95,15.0,779,bike,False
T05d,False,1,lead_brake,800,839,40.0,40,1.95,2.0,780,vehicle,False
T06d,False,0,pedestrian_jaywalk,280,579,14.0,300,14.95,15.0,151,walker,False
T06d,False,1,lead_brake,1100,1139,55.0,40,1.95,2.0,152,vehicle,False
T06d,False,2,stopped_vehicle_ahead,1680,1799,84.0,120,5.95,6.0,153,vehicle,True
T07d,False,0,motorcycle_cut_in,160,459,8.0,300,14.95,15.0,371,bike,False
T07d,False,1,lead_brake,840,889,42.0,50,2.45,2.5,372,vehicle,False
T07d,False,2,stopped_vehicle_ahead,1400,1799,70.0,400,19.95,20.0,373,vehicle,True
T08d,False,0,pedestrian_jaywalk,260,559,13.0,300,14.95,15.0,323,walker,False
T08d,False,1,motorcycle_cut_in,1000,1299,50.0,300,14.95,15.0,324,bike,False
T08d,False,2,stopped_vehicle_ahead,1300,1799,65.0,500,24.95,25.0,325,vehicle,True
T09d,False,0,motorcycle_cut_in,440,739,22.0,300,14.95,15.0,221,bike,False
T09d,False,1,pedestrian_jaywalk,920,1219,46.0,300,14.95,15.0,222,walker,False
T09d,False,2,lead_brake,1500,1539,75.0,40,1.95,2.0,223,vehicle,False
T10d,False,0,motorcycle_cut_in,160,459,8.0,300,14.95,15.0,136,bike,False
T10d,False,1,lead_brake,560,609,28.0,50,2.45,2.5,137,vehicle,False
T10d,False,2,stopped_vehicle_ahead,1440,1799,72.0,360,17.95,18.0,138,vehicle,True
