trip_id,has_gt,n_frames,fps,n_image_2,n_image_3,n_driver,n_depth,n_label,n_label_nonempty,map,speed_limit_kmh,weather_cloudiness,weather_precipitation,weather_fog_density,weather_sun_altitude,weather_wetness,duration_sec,n_events_log
T01-Sample,True,600,20.0,600,600,600,120,600,57,Town10HD,40,20.0,0.0,0.0,45.0,0.0,30,1
T02-Sample,True,600,20.0,600,600,600,120,600,190,Town04,80,30.0,0.0,5.0,-15.0,0.0,30,1
T03-Sample,True,600,20.0,600,600,600,120,600,81,Town06,70,90.0,80.0,10.0,-90.0,80.0,30,1
T04-Sample,True,600,20.0,600,600,600,120,600,490,Town05,40,50.0,0.0,0.0,35.0,0.0,30,1
T05-Sample,True,600,20.0,600,600,600,120,600,126,Town07,60,10.0,0.0,0.0,55.0,0.0,30,2
T06-Sample,True,600,20.0,600,600,600,120,600,600,Town06,45,70.0,50.0,0.0,60.0,50.0,30,2
T01d,False,1800,20.0,1800,1800,1800,360,1800,1302,Town01,80,30.0,0.0,5.0,1.0,0.0,90,2
T02d,False,1800,20.0,1800,1800,1800,360,1800,995,Town03,50,60.0,30.0,5.0,10.0,40.0,90,3
T03d,False,1800,20.0,1800,1800,1800,360,1800,1124,Town10HD,40,20.0,0.0,0.0,40.0,0.0,90,3
T04d,False,1800,20.0,1800,1800,1800,360,1800,968,Town06,70,80.0,0.0,40.0,-3.0,10.0,90,3
T05d,False,1800,20.0,1800,1800,1800,360,1800,332,Town06,60,10.0,0.0,0.0,55.0,0.0,90,2
T06d,False,1800,20.0,1800,1800,1800,360,1800,998,Town03,45,70.0,50.0,0.0,60.0,50.0,90,3
T07d,False,1800,20.0,1800,1800,1800,360,1800,739,Town04,90,5.0,0.0,0.0,70.0,0.0,90,3
T08d,False,1800,20.0,1800,1800,1800,360,1800,758,Town03,40,50.0,0.0,0.0,35.0,0.0,90,3
T09d,False,1800,20.0,1800,1800,1800,360,1800,474,Town10HD,50,10.0,0.0,0.0,-90.0,0.0,90,3
T10d,False,1800,20.0,1800,1800,1800,360,1800,702,Town06,70,90.0,80.0,10.0,-90.0,80.0,90,3
