trip_id,has_gt,trip_aggregate,driver_summary,frames.driver,frames.min_ttc,frames.headway_sec,frames.behavior_flags,frames.risk,ego.speed_kmh,ego.longitudinal_accel,ego.lateral_accel,ego.location,ego.rotation,ego.geolocation,targets[].target_id,targets[].target_class,targets[].rel_pos,targets[].closing_speed,targets[].ttc_simple,targets[].ttc_2d,targets[].in_collision_cone,events_active[].event_id,events_active[].event_type,events_active[].age_sec,events_active[].actor_ids,events_active[].params,events_log[].t,events_log[].type,events_log[].params,metadata.speed_limit_kmh,metadata.weather,label_2.location_xyz,label_2.n_lines_checked
T01-Sample,True,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,MẤT (không có key),còn,còn,còn,còn,còn,còn,57
T02-Sample,True,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,MẤT (không có key),còn,còn,còn,còn,còn,còn,216
T03-Sample,True,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,MẤT (không có key),còn,còn,còn,còn,còn,còn,81
T04-Sample,True,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,MẤT (không có key),còn,còn,còn,còn,còn,còn,200
T05-Sample,True,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,MẤT (không có key),còn,còn,còn,còn,còn,còn,126
T06-Sample,True,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,còn,MẤT (không có key),còn,còn,còn,còn,còn,còn,269
T01d,False,MẤT (không có key),MẤT (không có key),RỖNG,MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,còn,MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,còn,còn,MẤT (không có key),còn,còn,MẤT (không có key),còn,còn,ZERO hết,200
T02d,False,MẤT (không có key),MẤT (không có key),RỖNG,MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,còn,MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,còn,còn,MẤT (không có key),còn,còn,MẤT (không có key),còn,còn,ZERO hết,241
T03d,False,MẤT (không có key),MẤT (không có key),RỖNG,MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,còn,MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,còn,còn,MẤT (không có key),còn,còn,MẤT (không có key),còn,còn,ZERO hết,200
T04d,False,MẤT (không có key),MẤT (không có key),RỖNG,MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,còn,MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,còn,còn,MẤT (không có key),còn,còn,MẤT (không có key),còn,còn,ZERO hết,200
T05d,False,MẤT (không có key),MẤT (không có key),RỖNG,MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,còn,MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,còn,còn,MẤT (không có key),còn,còn,MẤT (không có key),còn,còn,ZERO hết,200
T06d,False,MẤT (không có key),MẤT (không có key),RỖNG,MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,còn,MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,còn,còn,MẤT (không có key),còn,còn,MẤT (không có key),còn,còn,ZERO hết,250
T07d,False,MẤT (không có key),MẤT (không có key),RỖNG,MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,còn,MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,còn,còn,MẤT (không có key),còn,còn,MẤT (không có key),còn,còn,ZERO hết,200
T08d,False,MẤT (không có key),MẤT (không có key),RỖNG,MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,còn,MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,còn,còn,MẤT (không có key),còn,còn,MẤT (không có key),còn,còn,ZERO hết,214
T09d,False,MẤT (không có key),MẤT (không có key),RỖNG,MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,còn,MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,còn,còn,MẤT (không có key),còn,còn,MẤT (không có key),còn,còn,ZERO hết,200
T10d,False,MẤT (không có key),MẤT (không có key),RỖNG,MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,còn,MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),MẤT (không có key),còn,còn,còn,còn,MẤT (không có key),còn,còn,MẤT (không có key),còn,còn,ZERO hết,200
