frame_id,timestamp,face_found,ear,ear_left,ear_right,mar,yaw,pitch,roll,nose_offset_x,nose_offset_y,face_ratio,blink_left,blink_right,blink,jaw_open,mouth_close,face_scale,phone_conf,phone_x,phone_y,phone_w,phone_h,phone_fresh
0,0.0,1,0.38362,0.37905,0.38818,0.14663,3.40826,5.89217,13.95708,0.13973,0.4968,1.24042,0.05253,0.02527,0.0389,0.09631,0.0075,75.42757,0.75128,366.0,200.0,23.0,53.0,1
1,0.05,1,0.37805,0.37761,0.37848,0.14065,2.69657,5.53956,13.78155,0.13361,0.49982,1.27844,0.06944,0.03498,0.05221,0.08274,0.00972,75.29561,0.75128,366.0,200.0,23.0,53.0,0
2,0.1,1,0.36566,0.36728,0.36405,0.13454,2.49975,5.38784,13.45653,0.13128,0.5021,1.29246,0.09603,0.04378,0.0699,0.0646,0.00998,75.35098,0.75128,366.0,200.0,23.0,53.0,0
3,0.15,1,0.36684,0.36773,0.36596,0.13762,2.28007,4.88189,13.2001,0.12688,0.504,1.29628,0.09327,0.04398,0.06863,0.06548,0.01137,75.24098,0.75128,366.0,200.0,23.0,53.0,0
4,0.2,1,0.36426,0.36663,0.3619,0.14307,1.74307,4.9272,12.90496,0.11178,0.51013,1.29749,0.10303,0.04629,0.07466,0.06766,0.01058,75.27202,0.75128,366.0,200.0,23.0,53.0,0
5,0.25,1,0.36825,0.37115,0.36536,0.14155,1.41687,5.08588,12.68347,0.1096,0.51863,1.29506,0.10141,0.04512,0.07327,0.05899,0.00922,75.05544,0.8245,360.0,201.0,26.0,53.0,1
6,0.3,1,0.3696,0.37321,0.36599,0.13886,1.35395,4.96499,12.6379,0.10967,0.51709,1.29653,0.09398,0.0415,0.06774,0.05561,0.00893,75.1436,0.8245,360.0,201.0,26.0,53.0,0
7,0.35,1,0.37261,0.37653,0.36868,0.14027,1.24992,4.88447,12.59762,0.11056,0.51713,1.29769,0.08578,0.03857,0.06217,0.05723,0.00905,75.12129,0.8245,360.0,201.0,26.0,53.0,0
8,0.4,1,0.36773,0.36832,0.36715,0.14152,1.6444,5.0446,12.5285,0.11954,0.5164,1.29909,0.08649,0.03982,0.06316,0.05389,0.00826,75.09886,0.8245,360.0,201.0,26.0,53.0,0
9,0.45,1,0.36337,0.361,0.36575,0.13859,2.39706,5.07498,12.42034,0.13102,0.51402,1.29732,0.08815,0.04382,0.06598,0.05285,0.00798,75.03583,0.8245,360.0,201.0,26.0,53.0,0
10,0.5,1,0.2948,0.29881,0.2908,0.13583,2.34656,4.98437,12.15851,0.12654,0.51609,1.29418,0.19186,0.14544,0.16865,0.05419,0.00946,73.88454,0.62406,364.0,201.0,23.0,54.0,1
11,0.55,1,0.10554,0.12605,0.08504,0.13533,1.94236,4.02504,12.18224,0.1098,0.49454,1.28086,0.51112,0.45468,0.4829,0.06902,0.01197,72.91073,0.62406,364.0,201.0,23.0,54.0,0
12,0.6,1,0.05473,0.06091,0.04856,0.17187,0.78825,3.24069,11.89543,0.08522,0.48007,1.28138,0.59446,0.57385,0.58416,0.17065,0.0199,73.48263,0.62406,364.0,201.0,23.0,54.0,0
13,0.65,1,0.05345,0.0534,0.0535,0.1793,-0.34655,2.41145,12.05241,0.07633,0.47763,1.28172,0.57755,0.57905,0.5783,0.19888,0.02209,73.59386,0.62406,364.0,201.0,23.0,54.0,0
14,0.7,1,0.06693,0.06453,0.06933,0.06014,-0.20579,2.88824,11.92274,0.07907,0.47706,1.26433,0.56935,0.58939,0.57937,0.03729,0.01569,72.49123,0.62406,364.0,201.0,23.0,54.0,0
15,0.75,1,0.08514,0.08695,0.08332,0.0461,0.11374,2.84832,11.67813,0.0887,0.48668,1.27391,0.59728,0.56565,0.58147,0.02939,0.01697,71.70808,0.5791,366.0,201.0,22.0,54.0,1
16,0.8,1,0.0186,0.01781,0.01938,0.03313,0.84753,2.30949,11.52101,0.09282,0.43514,1.27771,0.7147,0.6744,0.69455,0.02232,0.01735,75.45686,0.5791,366.0,201.0,22.0,54.0,0
17,0.85,1,0.02479,0.03141,0.01816,0.01962,1.10872,1.43476,11.44689,0.08983,0.42482,1.27117,0.76545,0.75285,0.75915,0.01459,0.01043,76.16405,0.5791,366.0,201.0,22.0,54.0,0
18,0.9,1,0.1789,0.18243,0.17537,0.07773,1.87754,1.16931,10.88119,0.09084,0.45501,1.30055,0.41095,0.40714,0.40905,0.04746,0.02235,73.36222,0.5791,366.0,201.0,22.0,54.0,0
19,0.95,1,0.24969,0.24885,0.25052,0.10264,2.53789,0.68478,11.09162,0.10507,0.46054,1.31804,0.27618,0.27787,0.27703,0.06474,0.0251,72.84803,0.5791,366.0,201.0,22.0,54.0,0
20,1.0,1,0.12644,0.13975,0.11313,0.06987,2.38782,0.63278,11.3886,0.10042,0.45975,1.30219,0.53858,0.49834,0.51846,0.02848,0.01161,74.06392,0.59903,367.0,200.0,22.0,55.0,1
21,1.05,1,0.02937,0.03562,0.02312,0.05833,1.99723,0.41919,11.53807,0.09881,0.43757,1.29512,0.72184,0.72287,0.72235,0.02011,0.00809,76.6899,0.59903,367.0,200.0,22.0,55.0,0
22,1.1,1,0.20428,0.19283,0.21573,0.13417,2.37954,-0.11942,11.26298,0.1043,0.45646,1.32259,0.31019,0.39506,0.35263,0.06437,0.01494,74.18545,0.59903,367.0,200.0,22.0,55.0,0
23,1.15,1,0.27441,0.26531,0.28351,0.24867,2.48902,-0.53815,11.11226,0.10414,0.45328,1.33687,0.19216,0.22534,0.20875,0.24829,0.0202,73.9781,0.59903,367.0,200.0,22.0,55.0,0
24,1.2,1,0.30272,0.29119,0.31425,0.26561,3.03105,0.7906,11.18483,0.11825,0.45724,1.33941,0.14245,0.16311,0.15278,0.30051,0.01707,74.13781,0.59903,367.0,200.0,22.0,55.0,0
25,1.25,1,0.30807,0.30134,0.31481,0.23475,3.13089,2.35418,11.2513,0.11946,0.46087,1.32282,0.13493,0.13918,0.13706,0.23379,0.01992,74.29044,0.72431,368.0,200.0,21.0,54.0,1
26,1.3,1,0.32283,0.31984,0.32582,0.16037,3.57501,3.99243,11.33728,0.12309,0.48309,1.30716,0.11146,0.0946,0.10303,0.1403,0.02523,74.78296,0.72431,368.0,200.0,21.0,54.0,0
27,1.35,1,0.3454,0.33915,0.35165,0.12064,3.64797,4.4218,11.37813,0.12243,0.4894,1.29965,0.08174,0.06559,0.07366,0.09699,0.02472,74.94088,0.72431,368.0,200.0,21.0,54.0,0
28,1.4,1,0.35237,0.3399,0.36483,0.10411,4.3427,4.42993,11.35399,0.13449,0.49124,1.29184,0.0729,0.05921,0.06606,0.06747,0.02086,75.17282,0.72431,368.0,200.0,21.0,54.0,0
29,1.45,1,0.3499,0.33556,0.36423,0.12564,4.93434,4.259,11.30892,0.14504,0.48671,1.29807,0.07604,0.06252,0.06928,0.07547,0.01497,75.85488,0.72431,368.0,200.0,21.0,54.0,0
30,1.5,1,0.35346,0.33916,0.36775,0.18911,5.00331,4.20352,11.13827,0.14671,0.48041,1.2967,0.07638,0.06025,0.06832,0.18549,0.01833,76.28183,0.48126,371.0,200.0,24.0,53.0,1
31,1.55,1,0.34733,0.33192,0.36274,0.10536,5.17936,4.5734,10.8223,0.14064,0.48883,1.29581,0.08205,0.07158,0.07682,0.07045,0.0168,76.21215,0.48126,371.0,200.0,24.0,53.0,0
32,1.6,1,0.35538,0.33562,0.37515,0.04241,5.48761,5.28731,10.37145,0.13941,0.49126,1.28005,0.0578,0.06416,0.06098,0.0186,0.00662,77.40961,0.48126,371.0,200.0,24.0,53.0,0
33,1.65,1,0.36567,0.34422,0.38712,0.02832,4.95519,5.14428,10.37762,0.12738,0.49541,1.27582,0.04685,0.05754,0.05219,0.0129,0.00572,76.89522,0.48126,371.0,200.0,24.0,53.0,0
34,1.7,1,0.37153,0.34584,0.39722,0.0523,4.90387,5.48658,10.17199,0.13033,0.49505,1.28097,0.03586,0.04618,0.04102,0.01522,0.00516,77.85914,0.48126,371.0,200.0,24.0,53.0,0
35,1.75,1,0.37144,0.34484,0.39804,0.08841,4.95285,5.70943,10.205,0.13675,0.50259,1.28837,0.03542,0.05002,0.04272,0.02877,0.00614,77.04124,0.60878,383.0,201.0,37.0,55.0,1
36,1.8,1,0.37228,0.34617,0.39839,0.12248,5.33499,6.09267,9.65547,0.14124,0.4987,1.30064,0.03376,0.04236,0.03806,0.05879,0.0091,77.99643,0.60878,383.0,201.0,37.0,55.0,0
37,1.85,1,0.37781,0.35208,0.40354,0.14782,5.60278,5.74115,9.43544,0.14102,0.50348,1.31049,0.03315,0.03946,0.0363,0.08962,0.01012,77.06429,0.60878,383.0,201.0,37.0,55.0,0
38,1.9,1,0.38686,0.36229,0.41142,0.1657,6.36288,6.00984,7.85772,0.14333,0.51772,1.31102,0.03048,0.03134,0.03091,0.09634,0.00889,75.83632,0.60878,383.0,201.0,37.0,55.0,0
39,1.95,1,0.38219,0.35143,0.41295,0.16086,6.8435,5.54079,7.08299,0.1451,0.51184,1.32079,0.03757,0.04329,0.04043,0.07535,0.00659,75.88238,0.60878,383.0,201.0,37.0,55.0,0
40,2.0,1,0.3791,0.34189,0.4163,0.1651,8.47697,5.35432,5.56917,0.16111,0.51416,1.33542,0.03971,0.04516,0.04243,0.08277,0.00604,74.66263,0.19498,400.0,207.0,21.0,49.0,1
41,2.05,1,0.38685,0.35552,0.41818,0.16562,9.39945,4.97058,5.0076,0.16198,0.5048,1.3499,0.04493,0.02671,0.03582,0.08165,0.0051,75.06804,0.19498,400.0,207.0,21.0,49.0,0
42,2.1,1,0.3808,0.34371,0.41789,0.16011,10.283,4.76893,4.69045,0.1708,0.5048,1.35688,0.05112,0.03579,0.04345,0.06707,0.00394,75.03945,0.19498,400.0,207.0,21.0,49.0,0
43,2.15,1,0.38205,0.34871,0.41539,0.1596,10.10159,4.77892,4.47657,0.16544,0.5052,1.3703,0.06131,0.03853,0.04992,0.07576,0.00467,74.93413,0.19498,400.0,207.0,21.0,49.0,0
44,2.2,1,0.38425,0.34948,0.41902,0.15458,10.27628,4.83045,4.36601,0.16654,0.50833,1.36287,0.06881,0.04638,0.05759,0.05957,0.00385,74.66707,0.19498,400.0,207.0,21.0,49.0,0
45,2.25,1,0.37831,0.34474,0.41189,0.1504,10.10555,4.61575,4.44544,0.16305,0.49747,1.35146,0.07257,0.05021,0.06139,0.05103,0.00329,74.84084,0.18668,399.0,207.0,27.0,50.0,1
46,2.3,1,0.37439,0.34068,0.4081,0.14367,10.05688,4.58498,4.5447,0.16362,0.49626,1.34988,0.07813,0.05488,0.06651,0.04231,0.0032,74.83611,0.18668,399.0,207.0,27.0,50.0,0
47,2.35,1,0.37228,0.33885,0.40571,0.1445,10.04816,4.63861,4.594,0.16321,0.49517,1.35124,0.07695,0.055,0.06598,0.04131,0.00322,75.00295,0.18668,399.0,207.0,27.0,50.0,0
48,2.4,1,0.37251,0.33931,0.40571,0.14461,9.9527,4.73904,4.71726,0.16205,0.49742,1.35093,0.07691,0.05509,0.066,0.0438,0.00335,74.93232,0.18668,399.0,207.0,27.0,50.0,0
49,2.45,1,0.3703,0.33569,0.40492,0.1421,9.98432,4.95297,4.67978,0.16286,0.49879,1.3554,0.08175,0.05946,0.0706,0.04662,0.00372,74.90834,0.18668,399.0,207.0,27.0,50.0,0
50,2.5,1,0.36922,0.33524,0.40321,0.13933,10.04494,5.00557,4.61217,0.16436,0.4977,1.35541,0.08463,0.05636,0.07049,0.0439,0.00321,75.05219,0.1302,408.0,208.0,27.0,49.0,1
51,2.55,1,0.37166,0.34066,0.40266,0.1471,10.07199,5.30467,4.66588,0.16261,0.50012,1.35814,0.08289,0.04807,0.06548,0.0544,0.00341,74.98492,0.1302,408.0,208.0,27.0,49.0,0
52,2.6,1,0.37039,0.33796,0.40281,0.14979,10.0481,5.433,4.73852,0.16312,0.50017,1.36105,0.08563,0.05339,0.06951,0.06523,0.00381,75.01642,0.1302,408.0,208.0,27.0,49.0,0
53,2.65,1,0.37156,0.341,0.40212,0.15487,9.84313,5.59727,4.78366,0.16271,0.50315,1.36047,0.08464,0.05186,0.06825,0.08395,0.00505,74.93163,0.1302,408.0,208.0,27.0,49.0,0
54,2.7,1,0.3632,0.33066,0.39574,0.15491,9.50773,5.73942,4.86864,0.15944,0.50266,1.35543,0.08827,0.0684,0.07834,0.09826,0.0062,75.00561,0.1302,408.0,208.0,27.0,49.0,0
55,2.75,1,0.35498,0.32138,0.38857,0.14686,8.462,6.20292,4.99778,0.14237,0.50542,1.34841,0.088,0.08991,0.08896,0.08939,0.00627,75.71088,0.13973,406.0,208.0,28.0,51.0,1
